GeneID	LOG_count	WT0_count	LOG_rpkm	WT0_rpkm	log2 Ratio(WT0/LOG)	Pvalue	FDR	significant
Unigene0010147	26	20	3.409	2.6102	-0.385188246	0.461908494	0.632159242	no
Unigene0010148	16	8	1.4825	0.7378	-1.006730411	0.151835054	0.262751689	no
Unigene0010149	12	6	1.6554	0.8239	-1.006638715	0.238096895	0.378565074	no
Unigene0010150	5	3	1.1392	0.6804	-0.743566005	0.726617172	0.866676484	no
Unigene0010151	37	38	4.1807	4.274	0.031842386	1	1	no
Unigene0010152	0	26	0.001	4.9784	12.28146644	3.03E-08	1.72E-07	yes
Unigene0010153	3	50	0.4711	7.816	4.05232523	5.83E-12	4.36E-11	yes
Unigene0010154	5	5	1.1074	1.1023	-0.006659508	1	1	no
Unigene0010156	2	1	0.3168	0.1577	-1.006389675	1	1	no
Unigene0010157	6	18	0.9422	2.8138	1.578414551	0.022735317	0.052769173	no
Unigene0010158	11	8	1.5842	1.1469	-0.466014876	0.64776437	0.799338824	no
Unigene0010159	1	3	0.1116	0.3334	1.578917077	0.625037495	0.778888258	no
Unigene0010160	3	5	0.6246	1.0363	0.730437237	0.726617172	0.866676484	no
Unigene0010161	7	6	1.4853	1.2673	-0.22899627	1	1	no
Unigene0010162	6	6	1.4015	1.3951	-0.006603207	1	1	no
Unigene0010163	10	40	0.7082	2.8197	1.993312927	2.44E-05	0.000101508	yes
Unigene0010164	186	203	16.6509	18.0893	0.119536422	0.421748096	0.593034504	no
Unigene0010165	266	323	23.9282	28.9221	0.273460434	0.028218891	0.064023981	no
Unigene0010166	13	0	1.5475	0.001	-10.59572369	0.000245094	0.000877279	yes
Unigene0010167	5	8	0.9685	1.5425	0.671446535	0.581180318	0.738783422	no
Unigene0010172	52	72	3.385	4.6654	0.462844946	0.088533385	0.169519762	no
Unigene0010173	1	8	0.0839	0.6677	2.992457324	0.039104693	0.084037097	no
Unigene0010174	5	5	1.1208	1.1157	-0.006579707	1	1	no
Unigene0010175	2	4	0.4326	0.8613	0.993482166	0.687546866	0.832683124	no
Unigene0010176	5	1	1.1828	0.2355	-2.328407184	0.218820305	0.35400966	no
Unigene0010177	32	22	3.408	2.3322	-0.547233822	0.220951781	0.356853397	no
Unigene0010178	3	5	0.7315	1.2135	0.730244339	0.726617172	0.866676484	no
