OTU_num	s1.1	s1.2	s1.3	s1.4	s1.5	s1.6	s1.7	s1.8	s2.1	s2.2	s2.3	s2.4	s2.5	s2.6	s2.7	s2.8	s3.1	s3.2	s3.3	s3.4	s3.5	s3.6	s3.7	s3.8	s4.1	s4.2	s4.3	s4.4	s4.5	s4.6	s4.7	s4.8	s5.1	s5.2	s5.3	s5.4	s5.5	s5.6	s5.7	s5.8
OTU_7287	0	0.000106247	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000318742	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7300	0.000106247	0	0.000212495	0.000106247	0.000106247	0	0	0	0.000106247	0	0.000106247	0	0	0	0.000106247	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000318742	0	0	0.000106247	0
OTU_7301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7324	0.000956226	0.000424989	0.000849979	0.000637484	0.001062473	0.002124947	0.001062473	0.001381215	0.000849979	0.000637484	0.000743731	0.000318742	0.000956226	0.000106247	0.001381215	0.000637484	0.000531237	0.000318742	0.000424989	0.001274968	0.000424989	0.000424989	0.001381215	0.000637484	0.000212495	0.000424989	0.000318742	0.000424989	0.000106247	0.000531237	0.001168721	0.000637484	0.001062473	0.001062473	0.000531237	0.000212495	0.000106247	0.001699958	0.000956226	0.000212495
OTU_7341	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0.000212495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7350	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0.000212495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0.000106247	0.000212495	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0
OTU_7368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0.000106247	0	0	0	0	0	0	0	0.000212495	0.000318742	0.000106247	0.000106247
OTU_7371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0
OTU_7373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000212495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7382	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7387	0.000212495	0.000106247	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0.000212495	0	0.000106247	0	0	0	0	0	0.000106247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7394	0.000106247	0.000106247	0.000106247	0	0.000106247	0	0.000106247	0.000212495	0	0.000106247	0	0.000106247	0	0	0	0	0.000106247	0.000424989	0.000318742	0	0.000212495	0.000106247	0.000106247	0	0.000106247	0.000106247	0	0.000212495	0.000106247	0.000318742	0.000106247	0.000212495	0	0	0	0.000106247	0.000106247	0.000106247	0.000106247	0
OTU_7401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106247	0	0	0	0	0	0
