ID	logFC
ENSG00000136944	1.8947
ENSG00000181408	5.1017
ENSG00000141505	1.6449
ENSG00000133710	-3.1825
ENSG00000182575	1.6322
ENSG00000184489	-1.2628
ENSG00000168785	2.826
ENSG00000154330	2.7457
ENSG00000165028	-1.7218
ENSG00000261678	5.097
ENSG00000243566	-1.0938
ENSG00000103154	4.0572
ENSG00000185339	4.5784
ENSG00000177238	4.5932
ENSG00000105963	1.9892
ENSG00000102032	2.0454
ENSG00000182759	1.7863
ENSG00000163687	4.5311
ENSG00000163017	-1.7822
ENSG00000163431	2.0042
ENSG00000107105	-1.6185
ENSG00000050628	4.9891
ENSG00000183128	-1.6474
ENSG00000183578	4.9455
ENSG00000085465	1.264
ENSG00000171045	2.0263
ENSG00000069535	-1.4063
ENSG00000127129	-2.2969
ENSG00000197181	1.805
ENSG00000087076	1.623
ENSG00000031081	1.2671
ENSG00000178033	-2.0713
ENSG00000184908	-1.1339
ENSG00000169282	-1.1012
ENSG00000188396	1.7206
ENSG00000095370	2.1328
ENSG00000161381	-2.252
ENSG00000188596	-1.6475
ENSG00000157927	2.2695
ENSG00000112902	-1.4668
ENSG00000158815	3.8901
ENSG00000128596	1.12
ENSG00000179564	1.3011
ENSG00000146469	4.8894
ENSG00000064195	-1.1668
ENSG00000186583	1.8736
ENSG00000129194	1.0516
ENSG00000186919	1.5674
ENSG00000104888	2.3247
ENSG00000189280	-1.145
ENSG00000176490	2.1088
ENSG00000161270	2.7535
ENSG00000171428	-1.067
ENSG00000176076	2.2291
ENSG00000106004	1.0056
ENSG00000179148	1.1164
ENSG00000108950	1.4847
ENSG00000172543	1.4198
ENSG00000104413	4.9655
ENSG00000121743	1.1357
ENSG00000179397	1.6457
ENSG00000169508	1.3825
ENSG00000182175	2.2307
ENSG00000166126	1.086
ENSG00000214967	1.9028
ENSG00000125246	-1.3593
ENSG00000146038	4.8457
ENSG00000198074	-1.9102
ENSG00000196581	4.3537
ENSG00000118160	4.3537
ENSG00000135094	2.3538
ENSG00000198203	2.8511
ENSG00000128849	-1.7739
ENSG00000129744	-3.7344
ENSG00000125775	1.8419
ENSG00000128298	1.0561
ENSG00000167874	2.4485
ENSG00000182472	1.1608
ENSG00000151651	1.4009
ENSG00000157653	2.3904
ENSG00000189409	4.3004
ENSG00000167100	2.1707
ENSG00000185664	-1.1719
ENSG00000102385	1.0687
