id      	A1	A2	A3	B1	B2	B3	C1	C2	C3
Unigene0000212	0	0.0434	0.0316	0.0318	0.1804	0.1817	0.0944	0.0461	0.0934
Unigene0000213	0.1874	0.2426	0.4422	0	0.2102	0.1693	0	0	0
Unigene0000214	0.5028	0.3514	0.3416	0.7596	0.4466	0.6133	0.8783	0.4359	0.6307
Unigene0000215	0.9072	0.1355	0.0494	0.0497	0.9156	0.0473	0.1229	0.072	0
Unigene0000216	3.4493	2.1029	1.7902	1.2419	3.6481	1.5417	0.0511	0.05	0.0843
Unigene0000217	2.8345	1.7579	2.8419	2.9736	1.6952	2.9342	1.6635	1.7063	1.2618
Unigene0000218	8.5983	4.9553	5.6154	4.1153	9.48	5.1141	3.164	2.7005	3.0988
Unigene0000219	0.0915	0	0.0647	0	0.1231	0	0	0	0
Unigene0000220	1.3874	1.2205	1.5342	1.2513	2.0712	1.7039	0.5802	0.6935	0.6948
Unigene0000221	22.0072	21.3233	21.9819	17.0289	19.206	20.6608	16.6189	16.3739	16.0459
Unigene0000222	27.832	29.229	32.3626	30.4298	23.3315	26.4313	23.7614	24.5199	26.1346
Unigene0000223	2.1658	1.5971	1.9859	0.9081	1.1392	1.4837	0.6068	0.9632	0.6628
Unigene0000224	0.5784	0.1296	0.0945	0.0634	0.3892	0.1507	0.094	0.2755	0.124
Unigene0000225	64.6107	16.0222	18.3664	6.1064	59.9168	12.1076	3.8063	1.7586	9.2275
Unigene0000226	0.6527	0.3502	0.2918	0.8936	0.6357	1.0242	0.0968	0.2127	0.2872
Unigene0000227	0.6406	0.2332	0.2267	0.428	0.6465	0.4341	0.3102	0.1653	0.3627
Unigene0000228	0.041	0	0	0	0.0552	0.0139	0.0867	0.2542	0.0715
Unigene0000229	1.3202	1.0515	1.118	0.0161	0.0456	0.0076	0	0.0116	0.0079
Unigene0000230	50.6382	58.3969	57.9868	60.8148	57.4945	62.9484	38.3238	42.2999	35.033
Unigene0000231	15.9672	17.6224	17.4254	16.4915	14.1291	15.8539	13.967	14.8491	12.8569
Unigene0000232	0.6407	0.311	0.6046	0.0507	0.0719	0.0724	2.2312	1.5796	6.4734
Unigene0000233	13.0975	10.9611	11.799	17.6086	14.9992	17.3469	26.375	24.4862	24.3958
Unigene0000234	0	0	0	0	0	0	0.5573	0.5988	0.2022
Unigene0000235	0.4236	0	0.0857	0.4097	1.1807	0.3075	0.2983	0.2498	0.6325
Unigene0000236	2.2097	1.032	1.6081	0.6388	1.1641	1.017	1.1452	0.7099	1.0458
Unigene0000237	0.3617	0.1951	0.1707	0.1146	0.7031	0.3268	0.368	0	0.14
Unigene0000238	0.2659	0.086	0	0	0.2087	0.03	0	0.0457	0.0617
Unigene0000239	0.7394	0.4102	0.6728	1.0538	2.1322	0.7873	1.5251	0.8721	0.368
Unigene0000240	0.3416	0.2579	0.1612	0.1082	0.2809	0.1029	0.1069	0	0.0264
Unigene0000241	0.0825	0	0.0584	0	0.0278	0	0.2905	0.6385	0.6897
Unigene0000242	1.7369	1.1502	1.153	1.0074	1.1958	0.7481	0.7586	0.4863	0.6004
Unigene0000243	13.5648	10.329	11.5691	24.7152	30.2631	26.817	8.1662	7.9213	8.3903
Unigene0000244	1.5157	1.9359	1.5244	1.0801	1.154	1.1351	0.7866	1.0702	1.2228
Unigene0000245	0.6815	0.0509	0.0371	0	1.164	0.071	0.0738	0	0
Unigene0000246	0	0	0	0	0.1819	0.0611	0	0	0
