Genus	Sand1	Sand2	Sand3	Silt1	Silt2	Silt3	Clay1	Clay2	Clay3	Enrich
Acidobacterium	0.108471	0.057683	0.050887	0.054587	0.038836	0.820473	0.851504	0.624529	0.978851	Clay
Edaphobacter	0.012052	0.024546	0.001272	0.0014	0.005011	0.050725	0.054818	0.086142	0.107173	Clay
CandidatusKoribacter	0.391033	1.283751	0.620826	0.282731	0.467284	0.110326	0.104763	0.163909	0.264361	Sand
CandidatusSolibacter	0.433886	0.369416	0.389288	0.564062	0.804279	0.367754	0.489706	0.614958	0.370344	none
Rathayibacter	0.038835	0.003682	0.008905	0.0014	0	0.092573	0.096236	0.043071	0.100029	Clay
Sinomonas	0.182125	0.288414	0.295147	0.062985	0.107738	0.007609	0.009745	0.001196	0.001191	Sand
Catellatospora	0	0.024546	0.049615	0.16236	0.035078	0	0.001218	0.001196	0	Silt
Pilimelia	0.159359	0.204958	0.201005	0.270134	0.212971	0.003804	0.003655	0.005982	0.002382	Sand
Virgisporangium	0.006696	0.014728	0.021627	0.135767	0.051364	0.001268	0.008527	0.001196	0.002382	Silt
